hour_encoded,AirTemp (C),RH (%),WindSpeed (m/s),DiffuseRadiation(W/m2),DirectRadiation(W/m2),DayType
0.25881904510252074,3.5166666666666675,95.91666666666669,1.9333333333333336,0.0,0.0,0.0
0.49999999999999994,1.6166666666666671,94.16666666666669,1.45,0.0,0.0,0.0
0.7071067811865476,3.6916666666666655,96.16666666666669,1.7,0.0,0.0,0.0
0.8660254037844386,4.866666666666667,97.58333333333331,1.7,0.0,0.0,0.0
0.9659258262890683,5.258333333333334,98.58333333333331,1.8166666666666669,0.0,0.0,0.0
1.0,5.358333333333333,100.16666666666669,1.7833333333333332,0.0,0.0,0.0
0.9659258262890683,4.7,100.41666666666669,2.1666666666666665,0.0,0.0,0.0
0.8660254037844387,4.141666666666667,100.0,2.1500000000000004,2.972222222222222,0.1944444444444444,0.0
0.7071067811865476,3.983333333333333,100.0,1.9,23.75,0.0833333333333333,0.0
0.49999999999999994,4.191666666666666,100.0,2.6,49.5,0.0,0.0
0.258819045102521,4.691666666666666,100.0,2.75,58.083333333333336,0.0,0.0
1.2246467991473532e-16,4.958333333333333,100.0,2.85,90.75,2.1666666666666665,0.0
-0.25881904510252035,5.291666666666667,100.0,3.391666666666667,128.16666666666666,9.75,0.0
-0.5000000000000001,5.15,100.0,4.241666666666666,89.91666666666667,1.083333333333333,0.0
-0.7071067811865475,5.075,100.0,5.2250000000000005,39.0,0.0,0.0
-0.8660254037844385,5.083333333333333,100.0,3.4416666666666664,30.83333333333333,0.0,0.0
-0.9659258262890683,5.058333333333334,100.0,2.6,3.5833333333333326,0.0,0.0
-1.0,4.691666666666666,100.0,2.4000000000000004,0.0,0.0,0.0
-0.9659258262890684,4.108333333333333,100.0,2.25,0.0,0.0,0.0
-0.8660254037844386,4.133333333333334,100.0,2.5,0.0,0.0,0.0
-0.7071067811865477,5.641666666666667,100.0,2.85,0.0,0.0,0.0
-0.5000000000000004,8.0,100.0,4.383333333333334,0.0,0.0,0.0
-0.2588190451025207,8.766666666666667,100.0,4.658333333333333,0.0,0.0,0.0
0.0,8.424999999999999,100.0,3.5583333333333336,0.0,0.0,0.0
0.25881904510252074,8.125,99.41666666666669,3.741666666666666,0.0,0.0,1.0
0.49999999999999994,7.533333333333335,98.41666666666669,4.2,0.0,0.0,1.0
0.7071067811865476,6.675,95.08333333333331,5.308333333333334,0.0,0.0,1.0
0.8660254037844386,5.425,91.25,5.633333333333333,0.0,0.0,1.0
0.9659258262890683,4.216666666666666,86.5,5.4750000000000005,0.0,0.0,1.0
1.0,3.391666666666667,84.58333333333333,5.425,0.0,0.0,1.0
0.9659258262890683,3.0416666666666665,85.0,5.766666666666666,0.0,0.0,1.0
0.8660254037844387,2.0083333333333337,73.91666666666667,7.908333333333331,5.611111111111111,6.3055555555555545,1.0
0.7071067811865476,0.7166666666666667,64.25,9.491666666666667,40.5,33.083333333333336,1.0
0.49999999999999994,-0.0499999999999999,62.41666666666666,7.133333333333333,64.66666666666667,3.666666666666666,1.0
0.258819045102521,-1.0,63.75,6.758333333333333,70.0,0.0,1.0
1.2246467991473532e-16,-1.675,67.33333333333333,6.341666666666666,90.16666666666669,0.0,1.0
-0.25881904510252035,-1.9166666666666667,64.91666666666667,7.05,124.5,25.33333333333333,1.0
-0.5000000000000001,-1.7666666666666666,55.0,7.016666666666668,129.08333333333334,114.0,1.0
-0.7071067811865475,-1.8333333333333333,49.41666666666666,5.808333333333333,77.08333333333333,35.166666666666664,1.0
-0.8660254037844385,-2.1166666666666667,50.75,5.425,54.16666666666666,101.25,1.0
-0.9659258262890683,-2.2,52.583333333333336,5.300000000000001,6.499999999999999,11.249999999999998,1.0
-1.0,-2.4333333333333336,57.083333333333336,5.300000000000001,0.0,0.0,1.0
-0.9659258262890684,-2.716666666666667,60.583333333333336,4.95,0.0,0.0,1.0
-0.8660254037844386,-2.975,59.25,5.05,0.0,0.0,1.0
-0.7071067811865477,-3.216666666666667,56.25,5.766666666666666,0.0,0.0,1.0
-0.5000000000000004,-3.3000000000000003,55.0,5.633333333333333,0.0,0.0,1.0
-0.2588190451025207,-3.533333333333333,56.75,4.308333333333334,0.0,0.0,1.0
0.0,-3.9333333333333336,59.16666666666666,3.6,0.0,0.0,1.0
0.25881904510252074,-4.45,61.75,4.241666666666666,0.0,0.0,1.0
0.49999999999999994,-5.108333333333334,65.91666666666667,4.058333333333334,0.0,0.0,1.0
0.7071067811865476,-5.75,69.75,3.6,0.0,0.0,1.0
0.8660254037844386,-6.058333333333334,71.58333333333333,3.95,0.0,0.0,1.0
0.9659258262890683,-5.808333333333333,72.0,4.491666666666666,0.0,0.0,1.0
1.0,-5.425,71.41666666666667,4.058333333333334,0.0,0.0,1.0
0.9659258262890683,-5.125,71.0,4.766666666666667,0.0,0.0,1.0
0.8660254037844387,-5.0,71.0,4.783333333333333,4.361111111111111,0.1944444444444444,1.0
0.7071067811865476,-4.825,71.0,3.85,36.41666666666666,0.9166666666666664,1.0
0.49999999999999994,-4.0,68.66666666666667,4.766666666666667,86.58333333333333,7.25,1.0
0.258819045102521,-3.5,68.16666666666667,5.075,131.5,24.83333333333333,1.0
1.2246467991473532e-16,-2.8000000000000003,64.33333333333333,4.408333333333333,157.08333333333334,67.41666666666667,1.0
-0.25881904510252035,-2.475,60.41666666666666,4.841666666666667,160.00000000000003,128.66666666666669,1.0
-0.5000000000000001,-2.5416666666666665,61.16666666666666,4.658333333333333,126.16666666666669,32.833333333333336,1.0
-0.7071067811865475,-2.85,67.83333333333333,3.208333333333333,71.91666666666667,2.166666666666666,1.0
